model,year,games,correct,accuracy,brier,logLoss
production,2024,213,141,0.6619718309859155,0.22478189959509756,0.6441122175043988
production,2025,213,143,0.6713615023474179,0.2263206821744131,0.6468789464772304
production,2026,204,130,0.6372549019607843,0.23057687782043754,0.6533721855047712
browser2026,2009,201,132,0.6567164179104478,0.2245609305606166,0.6486840138769755
browser2026,2010,201,112,0.5572139303482587,0.24700717599278227,0.6873176574524699
browser2026,2011,201,143,0.7114427860696517,0.21503723592730073,0.6250529282500106
browser2026,2012,201,125,0.6218905472636815,0.23381979272371428,0.663413375627237
browser2026,2013,201,120,0.5970149253731343,0.22821307613669164,0.652299416345199
browser2026,2014,201,122,0.6069651741293532,0.23259375013696995,0.6573234700025103
browser2026,2015,201,118,0.5870646766169154,0.23727873414944065,0.6674548908241528
browser2026,2016,201,123,0.6119402985074627,0.22143244613773322,0.6374261785139943
browser2026,2017,201,126,0.6268656716417911,0.21846188710221254,0.626992321092984
browser2026,2018,201,130,0.6467661691542289,0.23530820849902623,0.6639777501201557
browser2026,2019,201,128,0.6368159203980099,0.2255474048774782,0.6446315109216552
browser2026,2020,169,117,0.6923076923076923,0.20276253997933055,0.5955459209293549
browser2026,2021,201,148,0.736318407960199,0.185770434030653,0.554458965527738
browser2026,2022,201,145,0.7213930348258707,0.20458952118642768,0.5953542649841699
browser2026,2023,213,140,0.6572769953051644,0.21834942162585358,0.6311259085748775
browser2026,2024,213,141,0.6619718309859155,0.22478444586767649,0.6441247016897171
browser2026,2025,213,143,0.6713615023474179,0.22632200162811075,0.6468815339279343
browser2026,2026,204,130,0.6372549019607843,0.23057526150928792,0.653374694373412
bstar,2009,201,134,0.6666666666666666,0.22469352787162444,0.6489608034714568
bstar,2010,201,112,0.5572139303482587,0.24710841795226365,0.6875338383336153
bstar,2011,201,143,0.7114427860696517,0.2151977705584094,0.6253966219099285
bstar,2012,201,124,0.6169154228855721,0.23363402728151478,0.663006332041158
bstar,2013,201,119,0.5920398009950248,0.22819460846832487,0.6522897079970986
bstar,2014,201,122,0.6069651741293532,0.2326938604829924,0.6575138330289637
bstar,2015,201,118,0.5870646766169154,0.23718381884951045,0.6672566199675961
bstar,2016,201,125,0.6218905472636815,0.2215348241135791,0.6376539818958064
bstar,2017,201,126,0.6268656716417911,0.2183836895058329,0.626817349995364
bstar,2018,201,130,0.6467661691542289,0.2352251749542452,0.6638080571944103
bstar,2019,201,129,0.6417910447761194,0.2254660422867001,0.6444617088015792
bstar,2020,169,117,0.6923076923076923,0.2027536832389642,0.5955396887214264
bstar,2021,201,148,0.736318407960199,0.18576891961362127,0.554447863756965
bstar,2022,201,145,0.7213930348258707,0.2046167354337332,0.5954194215226005
bstar,2023,213,140,0.6572769953051644,0.21826395178240987,0.6309827418842524
bstar,2024,213,142,0.6666666666666666,0.22471497441880645,0.6439284547337849
bstar,2025,213,143,0.6713615023474179,0.22623519412539347,0.6467052079645131
bstar,2026,204,130,0.6372549019607843,0.2304405788752281,0.6531020909788311
candidate,2009,201,134,0.6666666666666666,0.22469352787162444,0.6489608034714568
candidate,2010,201,112,0.5572139303482587,0.24710841795226365,0.6875338383336153
candidate,2011,201,143,0.7114427860696517,0.2151977705584094,0.6253966219099285
candidate,2012,201,124,0.6169154228855721,0.23363402728151478,0.663006332041158
candidate,2013,201,119,0.5920398009950248,0.22819460846832487,0.6522897079970986
candidate,2014,201,122,0.6069651741293532,0.23251467333156564,0.6567932578264394
candidate,2015,201,118,0.5870646766169154,0.23718381884951045,0.6672566199675961
candidate,2016,201,125,0.6218905472636815,0.2209648344952402,0.6360584537259635
candidate,2017,201,128,0.6368159203980099,0.21697894060291523,0.6234315078870621
candidate,2018,201,132,0.6567164179104478,0.23327610491381762,0.6598091043831995
candidate,2019,201,129,0.6417910447761194,0.22748715009435722,0.6492762323299816
candidate,2020,169,117,0.6923076923076923,0.2027536832389642,0.5955396887214264
candidate,2021,201,149,0.7412935323383084,0.18402755293384956,0.5506789631572274
candidate,2022,201,147,0.7313432835820896,0.20189961348741708,0.5897922376568913
candidate,2023,213,141,0.6619718309859155,0.2163200805868542,0.6266240044757971
candidate,2024,213,145,0.6807511737089202,0.22117385966163344,0.6358223535027014
candidate,2025,213,146,0.6854460093896714,0.22209970027106718,0.6378234047535883
candidate,2026,204,132,0.6470588235294118,0.22880477199589283,0.6495516349381844
